Ангарск; Местное сообщество и развитие территорий; ОО ТОС АГО  "12а микрорайон"; Основная деятельность Повышение качества жизни жителей 12а микрорайона г.Ангарска Иркутской области ( Благоустройство и содержании территории, организация культурных, спортивных и социально значимых мероприятий, взаимодействие с органами власти для учёта мнения жителей, , экологии и социальной помощи.  ЦА Жители микрорайона 12А (социально незащищенные группы: пенсионеры, инвалиды, многодетные семьи, малоимущие и д.р. дети и молодежь, собственники жилья.)  План мероприятий на год 1) Физическая зарядка для пенсионеров каждый четверг 2) Каждую пятницу тренировки по скандинавской ходьбе для всех возрастов.  3) До 30.10.2025 установка детской эко-площадки и открытие площадки. 4) Раз в месяц встречи с жителями по обсуждению проблем на территории и пути решения.; https://vk.com/id746471055
Волгодонск; Социальная защита (помощь людям в трудной ситуации); Благотворительный общественно полезный фонд помощи социально незащищенным слоям населения "Платформа добрых дел"; Основная деятельность Благотворительный общественно полезный фонд помощи социально незащищенным слоям населения «Платформа добрых дел» Основной вид деятельности (ОКВЭД) 64.99   ЦА молодые люди с инвалидностью старше 18 лет, граждане старшего возраста (пенсионного)  План мероприятий на год Плана мероприятий пока нет, так как такового обозначенного плана нашим фондом не имеется.; -
Глазов, УР; Местное сообщество и развитие территорий; МБУ "Молодежный центр"; Основные деятельность: -Консультирование и регистрация на площадке «Добро.РФ» -Проведение "Школы волонтеров"  -Формирование и сопровождение волонтерских корпусов (например, на общегородских мероприятиях, федеральных проектах (Формирование комфортной городской среды) -Информирование граждан и организаторов о развитии добровольчества, благотворительности и гражданских инициатив (индивидуально)  ЦА: Молодежь в возрасте от 14 до 35 лет  План мероприятий: файл (https://docs.google.com/document/d/1CiJ8y7zD4gBdxLDko-OOA-CFAStQdy4x/edit); https://vk.com/mcglazov
Глазов, УР; Другое; Культурная база "Короленко 8" (МБУ "ЦМиТО УКСиМП" ; Основная деятельность:   Ресурсный центр помощи НКО и сообществам, учреждениям культуры, образования  ЦА:  Инициативные жители, сообщества, НКО, учреждения города; https://m.vk.com/korolenko8?from=groups
Железногорск, Краснояр. край; Экология и устойчивое развитие; КРОМО "Экологический союз" ; Основная деятельность:  Организация и проведение различных экскурсий, конкурсов, выставок, акций, конференций, фестивалей, семинаров, олимпиад, походов, круглых столов, курсов, связанных с миром природы. Разработка и реализация просветительных программ эколого -биологической, естественно-научной, природоохранной, туристско - краеведческой направленности для детей и взрослых вместе с детьми. Оказание практической помощи другим организациям и привлечение молодежи к участию в экологической работе на территории ЗАТО Железногорск.   ЦА:  Активная молодежь, заинтересовнная в решении экологических проблем и природоохранной деятельности, экоактивисты.  План мероприятий на год: 1) «Нескучная инженерия» при поддержке АНО «Энергия развития» ГК Росатом. 2) «Ни грамма скуки» - при поддержке фонда президентских грантов. 3) «Меняй себя, а не климат» поддержанный фондом «Соработничество» (с 1 августа). 4) Проект «Система ЗАТО Железногорск» (с 1 декабря). ; Vk.com/ecosoyuz24
Зеленогорск, Краснояр. край; Здоровье и спорт; Федерация картинга; ; Vk.com/publik177651782
Зеленогорск, Краснояр. край; Местное сообщество и развитие территорий; НКО "Резервный фонд поддержки гражданских инициатив города Зеленогорска"; Три года назад Фонд планировали закрывать. Потом он стал площадкой по сбору средст в поддержку волонтеров СВО, т.к. других фондов в городе нет.   Основаная детельность: На сегодня принято решение оставить Фонд после окончания СВО. Он будет заниматься сбором пожертвований и помощью людям в тяжелых ситуациях (пожары, болезни и т.п.).   ЦА:   люди в сложной жизненой ситуации; https://vk.com/club206489451?from=groups
Зеленогорск, Краснояр. край; Здоровье и спорт; АНО "Клуб компьютерного спорта и фиджитал-спорта "Кибер-атом"; ; https://vk.com/cyberatom_zlk24
Зеленогорск, Краснояр. край; Социальная защита (помощь людям в трудной ситуации); АНО РАЗВИВАЮЩИЙ ЦЕНТР "СОЛНЕЧНЫЙ ГОРОД" "; Основаная детельность: Оказание психолого-педагогической помощи семьям с детьми,  в том числе с инвалидностью и ОВЗ  ЦА:  Семьи с детьми от рождения до 18 лет  План мероприятий на год:  Проект "Передышка" (поддержан КЦПРОИ); https://vk.com/sunny_gorod
Зеленогорск, Краснояр. край; Местное сообщество и развитие территорий; АНО КРЦРМСИГ ЕЛЕНЫ ЖИВАЕВОЙ ; Информация об организации АНО КРЦРМСИГ Елены Живаевой; https://vk.com/elenazivaeva
Зеленогорск, Краснояр. край; Местное сообщество и развитие территорий; АНО Ресурсный центр; ; https://m.vk.com/resyrs.center?from=groups
